dataset,algorithm,nmi
2d-3c-no123,ag,1.0
2d-3c-no123,birch,1.0
2d-3c-no123,spectral,1.0
2d-3c-no123,meanshift,1.0
2d-3c-no123,optics,1.0
2d-3c-no123,db,1.0
dense-disk-3000,kmeans,1.0
dense-disk-3000,ap,1.0
dense-disk-3000,ag,1.0
dense-disk-3000,birch,1.0
dense-disk-3000,spectral,1.0
dense-disk-3000,meanshift,1.0
dense-disk-3000,optics,1.0
dense-disk-3000,db,1.0
d31,kmeans,1.0
d31,ap,1.0
d31,ag,1.0
d31,birch,1.0
d31,spectral,1.0
d31,meanshift,1.0
d31,optics,1.0
d31,db,1.0
spiralsquare,kmeans,0.3984962406015037
spiralsquare,ap,0.9642857142857145
spiralsquare,ag,1.0
spiralsquare,birch,1.0
spiralsquare,spectral,1.0
spiralsquare,meanshift,1.0
spiralsquare,optics,1.0
spiralsquare,db,1.0
spiral,kmeans,1.0
spiral,ap,0.7142857142857144
spiral,ag,1.0
spiral,birch,1.0
spiral,spectral,1.0
spiral,meanshift,1.0
spiral,optics,1.0
spiral,db,1.0
pathbased,kmeans,0.41503759398496237
pathbased,ap,0.9
pathbased,ag,1.0
pathbased,birch,1.0
pathbased,spectral,1.0
pathbased,meanshift,1.0
pathbased,optics,1.0
pathbased,db,1.0
dense-disk-5000,kmeans,0.6977443609022556
dense-disk-5000,ap,1.0
dense-disk-5000,ag,1.0
dense-disk-5000,birch,1.0
dense-disk-5000,spectral,1.0
dense-disk-5000,meanshift,1.0
dense-disk-5000,optics,1.0
dense-disk-5000,db,1.0
smile3,kmeans,0.4781954887218045
smile3,ap,0.9999999999999999
smile3,ag,1.0
smile3,birch,1.0
smile3,spectral,1.0
smile3,meanshift,1.0
smile3,optics,1.0
smile3,db,1.0
twenty,kmeans,1.0
twenty,ap,1.0
twenty,ag,1.0
twenty,birch,1.0
twenty,spectral,1.0
twenty,meanshift,1.0
twenty,optics,1.0
twenty,db,1.0
cassini,kmeans,0.22556390977443608
cassini,ap,0.9999999999999999
cassini,ag,1.0
cassini,birch,1.0
cassini,spectral,1.0
cassini,meanshift,1.0
cassini,optics,1.0
cassini,db,1.0
DS-850,kmeans,0.3669172932330827
DS-850,ap,0.9999999999999999
DS-850,ag,1.0
DS-850,birch,1.0
DS-850,spectral,1.0
DS-850,meanshift,1.0
DS-850,optics,1.0
DS-850,db,1.0
R15,kmeans,1.0
R15,ap,1.0
R15,ag,1.0
R15,birch,1.0
R15,spectral,1.0
R15,meanshift,1.0
R15,optics,1.0
R15,db,1.0
square3,kmeans,0.6661654135338345
square3,ap,0.3571428571428572
square3,ag,1.0
square3,birch,1.0
square3,spectral,1.0
square3,meanshift,1.0
square3,optics,1.0
square3,db,1.0
aggregation,kmeans,0.35939849624060144
aggregation,ap,0.9999999999999999
aggregation,ag,1.0
aggregation,birch,1.0
aggregation,spectral,1.0
aggregation,meanshift,1.0
aggregation,optics,1.0
aggregation,db,1.0
blobs,kmeans,0.6511278195488721
blobs,ap,0.7
blobs,ag,1.0
blobs,birch,1.0
blobs,spectral,1.0
blobs,meanshift,1.0
blobs,optics,1.0
blobs,db,1.0
disk-3000n,kmeans,0.5458646616541353
disk-3000n,ap,1.0
disk-3000n,ag,1.0
disk-3000n,birch,1.0
disk-3000n,spectral,1.0
disk-3000n,meanshift,1.0
disk-3000n,optics,0.9999999999999999
disk-3000n,db,1.0
glass,kmeans,1.0
glass,ap,0.7333333333333332
glass,ag,1.0
glass,birch,1.0
glass,spectral,1.0
glass,meanshift,1.0
glass,optics,1.0
glass,db,1.0
square5,kmeans,0.38496240601503756
square5,ap,0.6727272727272726
square5,ag,1.0
square5,birch,1.0
square5,spectral,1.0
square5,meanshift,1.0
square5,optics,1.0
square5,db,1.0
threenorm,kmeans,0.6676691729323309
threenorm,ap,0.9999999999999999
threenorm,ag,1.0
threenorm,birch,1.0
threenorm,spectral,1.0
threenorm,meanshift,1.0
threenorm,optics,0.9999999999999999
threenorm,db,1.0
2dnormals,kmeans,0.2421052631578947
2dnormals,ap,0.406060606060606
2dnormals,ag,1.0
2dnormals,birch,1.0
2dnormals,spectral,1.0
2dnormals,meanshift,1.0
2dnormals,optics,1.0
2dnormals,db,1.0
square2,kmeans,0.4842105263157894
square2,ap,0.9999999999999999
square2,ag,1.0
square2,birch,1.0
square2,spectral,1.0
square2,meanshift,0.7112781954887217
square2,optics,1.0
square2,db,1.0
rings,kmeans,0.20300751879699244
rings,ap,0.9999999999999999
rings,ag,1.0
rings,birch,1.0
rings,spectral,1.0
rings,meanshift,1.0
rings,optics,1.0
rings,db,1.0
cuboids,kmeans,0.38496240601503756
cuboids,ap,0.9999999999999999
cuboids,ag,1.0
cuboids,birch,1.0
cuboids,spectral,1.0
cuboids,meanshift,1.0
cuboids,optics,1.0
cuboids,db,1.0
aml28,kmeans,0.41804511278195483
aml28,ap,0.8333333333333335
aml28,ag,1.0
aml28,birch,1.0
aml28,spectral,1.0
aml28,meanshift,1.0
aml28,optics,1.0
aml28,db,1.0
compound,kmeans,0.4676691729323308
